*Pick And Place List
*Company=
*Author=
*eMail=
*
*Project=daisychain_hub --pi
*Date=16:03:38
*CreatedBy=Fritzing 0.9.3b.04.19.5c895d327c44a3114e5fcc9d8260daf0cbb52806
*
*
*Coordinates in mm, always center of component
*Origin 0/0=Lower left corner of PCB
*Rotation in degree (0-360, math. pos.)
*
*No;Value;Package;X;Y;Rotation;Side;Name
1;;;3.81;-40.4016;0;Bottom;Copper Fill14
2;;THT;15.3107;-62.1098;90;Bottom;J5
3;;;1.5748;-20.107;0;Bottom;Copper Fill94
4;;;12.2174;-23.8662;0;Bottom;Copper Fill31
5;;;3.81;-37.8616;0;Bottom;Copper Fill77
6;;;7.26547;-11.1845;0;Bottom;TXT2
7;;;21.6281;-63.0584;0;Bottom;Copper Fill56
8;;;9.01313;-59.5394;-90;Bottom;TXT2
9;;;11.9126;-15.3826;0;Bottom;Copper Fill38
10;;;3.81;-27.7016;0;Bottom;Copper Fill87
11;;;21.6281;-61.2804;0;Bottom;Copper Fill57
12;;;8.9662;-24.171;0;Bottom;Copper Fill29
13;;;19.204;-59.3767;-90;Bottom;TXT2
14;;;1.5748;-37.887;0;Bottom;Copper Fill15
15;;;1.5748;-12.487;0;Bottom;Copper Fill102
16;;;24.04;-24.1272;0;Bottom;TXT2
17;;;22.5044;-62.1567;0;Bottom;Copper Fill58
18;;;22.606;-23.2566;0;Bottom;Copper Fill90
19;;;6.7818;-27.0412;0;Bottom;Copper Fill26
20;;;1.5748;-32.807;0;Bottom;Copper Fill81
21;;;1.5748;-27.727;0;Bottom;Copper Fill86
22;;;3.81;-55.6416;0;Bottom;Copper Fill2
23;;;3.81;-32.7816;0;Bottom;Copper Fill20
24;;;1.651;-49.3551;0;Bottom;Copper Fill48
25;;;16.6039;-59.2746;-90;Bottom;TXT2
26;;;3.81;-45.4816;0;Bottom;Copper Fill71
27;;;1.5748;-9.947;0;Bottom;Copper Fill104
28;;;3.81;-22.6216;0;Bottom;Copper Fill33
29;;;13.1318;-47.8438;0;Bottom;Copper Fill60
30;;;1.5748;-48.047;0;Bottom;Copper Fill7
31;;;21.6281;-61.2804;0;Bottom;Copper Fill117
32;;;3.81;-17.5416;0;Bottom;Copper Fill97
33;;;1.5748;-37.887;0;Bottom;Copper Fill76
34;;;3.81;-55.6416;0;Bottom;Copper Fill63
35;;;3.81;-50.5616;0;Bottom;Copper Fill6
36;;;6.9596;-18.3036;0;Bottom;Copper Fill30
37;;;15.24;-32.8578;0;Bottom;Copper Fill106
38;;;5.842;-39.1951;0;Bottom;Copper Fill115
39;;;3.81;-50.5616;0;Bottom;Copper Fill67
40;;;1.5748;-45.507;0;Bottom;Copper Fill9
41;;;1.5748;-50.587;0;Bottom;Copper Fill66
42;;;1.5748;-20.107;0;Bottom;Copper Fill34
43;;;1.5748;-25.187;0;Bottom;Copper Fill88
44;;;11.9407;-25.4598;0;Bottom;Via1
45;;;1.5748;-40.427;0;Bottom;Copper Fill74
46;;;1.651;-13.7951;0;Bottom;Copper Fill108
47;;;1.5748;-27.727;0;Bottom;Copper Fill23
48;;;24.1808;-34.7882;0;Bottom;Copper Fill80
49;;;7.52939;-8.51567;0;Bottom;TXT2
50;;;1.5748;-15.027;0;Bottom;Copper Fill39
51;;;15.24;-32.8578;0;Bottom;Copper Fill45
52;;;23.6554;-26.6189;0;Bottom;TXT2
53;;;22.5044;-62.1567;0;Bottom;Copper Fill118
54;;;3.81;-30.2416;0;Bottom;Copper Fill85
55;;;3.81;-40.4016;0;Bottom;Copper Fill75
56;;;23.6212;-29.1161;0;Bottom;TXT2
57;;;1.5748;-55.667;0;Bottom;Copper Fill62
58;;;3.81;-20.0816;0;Bottom;Copper Fill35
59;;;3.76866;-27.7722;0;Bottom;TXT2
60;;;21.9456;-28.1588;0;Bottom;Copper Fill83
61;;;1.651;-49.3551;0;Bottom;Copper Fill107
62;;;3.81;-17.5416;0;Bottom;Copper Fill37
63;;;1.5748;-45.507;0;Bottom;Copper Fill70
64;;;23.2156;-20.6912;0;Bottom;Copper Fill93
65;;;12.5376;-24.019;0;Bottom;TXT2
66;;;9.525;-17.694;0;Bottom;Copper Fill101
67;;;1.5748;-42.967;0;Bottom;Copper Fill11
68;;;15.6972;-48.4788;0;Bottom;Copper Fill61
69;;;3.81;-48.0216;0;Bottom;Copper Fill69
70;;;1.5748;-35.347;0;Bottom;Copper Fill78
71;;;3.72897;-25.2313;0;Bottom;TXT2
72;;;12.57;-26.6333;0;Bottom;TXT2
73;;;5.842;-56.9751;0;Bottom;Copper Fill114
74;;;3.81;-12.4616;0;Bottom;Copper Fill42
75;;;8.6614;-26.7618;0;Bottom;Copper Fill24
76;;;1.5748;-48.047;0;Bottom;Copper Fill68
77;;;3.81;-15.0016;0;Bottom;Copper Fill40
78;;;3.81;-48.0216;0;Bottom;Copper Fill8
79;;;1.651;-31.5751;0;Bottom;Copper Fill50
80;;;3.81;-53.1016;0;Bottom;Copper Fill4
81;;;3.81;-22.6216;0;Bottom;Copper Fill92
82;;;1.651;-44.2751;0;Bottom;Copper Fill112
83;;;1.651;-31.5751;0;Bottom;Copper Fill109
84;;;7.3068;-13.709;0;Bottom;TXT2
85;;THT;3.81067;-32.7998;0;Bottom;J6
86;;;3.81;-30.2416;0;Bottom;Copper Fill22
87;;;1.5748;-40.427;0;Bottom;Copper Fill13
88;;;9.47061;-21.5668;0;Bottom;TXT2
89;;;21.6916;-26.7491;0;Bottom;Copper Fill47
90;;;5.842;-39.1951;0;Bottom;Copper Fill55
91;;;1.5748;-15.027;0;Bottom;Copper Fill98
92;;;1.5748;-42.967;0;Bottom;Copper Fill72
93;;;1.5748;-22.647;0;Bottom;Copper Fill32
94;;;3.81;-35.3216;0;Bottom;Copper Fill18
95;;;3.81;-9.9216;0;Bottom;Copper Fill105
96;;;12.2518;-18.9919;0;Bottom;TXT2
97;;;14.1325;-59.2746;-90;Bottom;TXT2
98;;;3.81;-25.1616;0;Bottom;Copper Fill89
99;;;1.5748;-17.567;0;Bottom;Copper Fill36
100;;;23.9577;-19.0408;0;Bottom;TXT2
