pm[0] = -0.000 pm[1] = -416.981 pm[2] = -1.028  t = 52
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 53
pm[0] = 181.586 pm[1] = -373.553 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 313.435 pm[1] = -268.325 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 366.098 pm[1] = -176.476 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 395.924 pm[1] = -91.569 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 407.264 pm[1] = -6.803 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 382.718 pm[1] = 112.550 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 397.591 pm[1] = 71.927 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 365.208 pm[1] = 143.943 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 395.579 pm[1] = 44.703 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 401.792 pm[1] = 39.445 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 405.058 pm[1] = 22.733 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 370.166 pm[1] = -192.361 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 389.703 pm[1] = -138.330 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -395.861 pm[1] = -26.350 pm[2] = -0.573  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 393.228 pm[1] = -131.219 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 392.368 pm[1] = -137.782 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 362.356 pm[1] = -210.822 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -111.455 pm[1] = -238.498 pm[2] = -423.339  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -16.470 pm[1] = -143.811 pm[2] = 486.451  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 9.452 pm[1] = -248.417 pm[2] = -421.212  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -52.925 pm[1] = -126.072 pm[2] = -484.878  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 118.542 pm[1] = -236.506 pm[2] = 424.584  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 74.418 pm[1] = -208.707 pm[2] = -444.585  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 8.212 pm[1] = -238.120 pm[2] = 428.171  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -89.933 pm[1] = -70.560 pm[2] = -477.359  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -135.558 pm[1] = -6.175 pm[2] = 473.685  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -97.372 pm[1] = -164.523 pm[2] = 461.501  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 376.998 pm[1] = -151.027 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -79.507 pm[1] = -257.557 pm[2] = -405.722  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -1.986 pm[1] = -321.139 pm[2] = 354.687  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 95.475 pm[1] = -407.116 pm[2] = 0.011  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 66.239 pm[1] = -370.477 pm[2] = -284.790  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 53.965 pm[1] = -417.898 pm[2] = 0.006  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -8.537 pm[1] = -372.406 pm[2] = -280.831  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 70.773 pm[1] = -418.619 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 115.615 pm[1] = -406.898 pm[2] = 0.017  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 98.706 pm[1] = -416.557 pm[2] = -0.124  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -160.175 pm[1] = -328.653 pm[2] = 305.229  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -112.581 pm[1] = -409.070 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -86.009 pm[1] = -415.498 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -78.793 pm[1] = -413.651 pm[2] = 0.184  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -69.303 pm[1] = -407.300 pm[2] = 0.010  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -68.318 pm[1] = -409.989 pm[2] = 0.482  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -51.274 pm[1] = -416.166 pm[2] = 0.306  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -48.418 pm[1] = -418.274 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -8.080 pm[1] = -425.469 pm[2] = 0.008  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -59.013 pm[1] = -421.022 pm[2] = 0.010  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -17.905 pm[1] = -427.361 pm[2] = 0.007  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -192.530 pm[1] = -254.794 pm[2] = 375.063  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -151.798 pm[1] = -310.360 pm[2] = -333.073  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 137.164 pm[1] = -400.878 pm[2] = -0.002  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 220.352 pm[1] = -363.811 pm[2] = 0.003  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 194.684 pm[1] = -221.501 pm[2] = 412.383  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 113.211 pm[1] = -344.393 pm[2] = -330.489  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 260.773 pm[1] = -334.580 pm[2] = 0.006  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 254.462 pm[1] = -325.086 pm[2] = -160.161  t = 26
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 27
pm[0] = 304.282 pm[1] = -294.794 pm[2] = 1.340  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 240.594 pm[1] = -350.040 pm[2] = 0.037  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 244.666 pm[1] = -336.360 pm[2] = 0.010  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 241.818 pm[1] = -342.255 pm[2] = 0.952  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 239.551 pm[1] = -349.891 pm[2] = 0.112  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 231.798 pm[1] = -351.135 pm[2] = 0.023  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 194.154 pm[1] = -365.797 pm[2] = 0.442  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 229.695 pm[1] = -348.144 pm[2] = -1.110  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 259.098 pm[1] = -327.220 pm[2] = 0.022  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 275.941 pm[1] = -318.724 pm[2] = 0.016  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 287.633 pm[1] = -304.745 pm[2] = -1.473  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 297.392 pm[1] = -306.068 pm[2] = 0.110  t = 22
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 322.234 pm[1] = -281.464 pm[2] = -0.433  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 350.187 pm[1] = -243.410 pm[2] = -0.041  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 354.406 pm[1] = -232.561 pm[2] = 0.019  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 391.459 pm[1] = -158.059 pm[2] = 0.003  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = 367.179 pm[1] = -166.298 pm[2] = -207.452  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 347.731 pm[1] = -230.287 pm[2] = -0.798  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 350.067 pm[1] = -231.246 pm[2] = -0.521  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 279.300 pm[1] = -310.423 pm[2] = -0.116  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 240.729 pm[1] = -337.927 pm[2] = -0.012  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 248.240 pm[1] = -332.859 pm[2] = 0.008  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 241.340 pm[1] = -336.998 pm[2] = -0.049  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 287.658 pm[1] = -274.520 pm[2] = 209.855  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 200.271 pm[1] = -204.013 pm[2] = -388.833  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = 109.235 pm[1] = -121.581 pm[2] = -456.901  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = -60.407 pm[1] = -26.637 pm[2] = 477.373  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -361.780 pm[1] = -133.289 pm[2] = -1.168  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 21
pm[0] = 69.279 pm[1] = -208.180 pm[2] = 427.865  t = 21
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 22
pm[0] = -141.590 pm[1] = 11.698 pm[2] = -453.240  t = 20
pe[0] = -3.520 pe[1] = -3.520 pe[2] = -3.520  t = 20
pm[0] = -177.939 pm[1] = 37.039 pm[2] = -437.084  t = 21
